	Kazachstania_naganishii	Saccharomyces_cerevisiae
OG0003875	genemark-HE978326-processed-gene-0.65-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.65&CDS=1-735	YER182W
OG0003876	genemark-HE978326-processed-gene-0.42-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.42&CDS=1-1473	YHR207C
OG0003877	genemark-HE978326-processed-gene-0.66-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.66&CDS=1-1917	YHR206W
OG0003878	genemark-HE978326-processed-gene-0.67-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.67&CDS=1-2376	YHR205W
OG0003879	genemark-HE978326-processed-gene-0.68-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.68&CDS=1-2367	YHR204W
OG0003880	augustus_masked-HE978326-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-0.25&CDS=1-2403	YHR202W
OG0003881	genemark-HE978326-processed-gene-0.44-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.44&CDS=1-2256	YJR139C
OG0003882	genemark-HE978326-processed-gene-0.71-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.71&CDS=1-768	YHR200W
OG0003883	augustus_masked-HE978326-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-0.27&CDS=1-2283	YHR197W
OG0003884	genemark-HE978326-processed-gene-0.74-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.74&CDS=1-1608	YHR194W
OG0003885	genemark-HE978326-processed-gene-0.47-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.47&CDS=1-516	YHR193C
OG0003886	augustus_masked-HE978326-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-0.29&CDS=1-753	YHR192W
OG0003887	genemark-HE978326-processed-gene-0.48-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.48&CDS=1-387	YHR191C
OG0003888	snap_masked-HE978326-processed-gene-0.121-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-0.121&CDS=1-177	YML081C-A
OG0003889	genemark-HE978326-processed-gene-0.50-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.50&CDS=1-3141	YML081W
OG0003890	genemark-HE978326-processed-gene-0.51-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.51&CDS=1-1203	YML080W
OG0003891	genemark-HE978326-processed-gene-0.52-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.52&CDS=1-552	YML078W
OG0003892	genemark-HE978326-processed-gene-0.53-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.53&CDS=1-1209	YJR125C
OG0003893	snap_masked-HE978326-processed-gene-0.122-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-0.122&CDS=1-237	YPL189C-A
OG0003894	genemark-HE978326-processed-gene-0.54-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.54&CDS=1-1854	YGL084C
OG0003895	genemark-HE978326-processed-gene-0.55-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.55&CDS=1-1323	YPL188W
OG0003896	augustus_masked-HE978326-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-0.31&CDS=1-774	YPL186C
OG0003897	augustus_masked-HE978326-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-0.32&CDS=1-1329	YPL184C
OG0003898	snap_masked-HE978326-processed-gene-0.100-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-0.100&CDS=1-285	YPL183W-A
OG0003899	snap_masked-HE978326-processed-gene-0.125-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-0.125&CDS=1-2973	YPL183C
OG0003900	augustus_masked-HE978326-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-0.34&CDS=1-2397	YPL180W
OG0003901	genemark-HE978326-processed-gene-0.56-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.56&CDS=1-1839	YGL095C
OG0003902	maker-HE978326-snap-gene-0.40-mRNA-1_1&gene=maker-HE978326-snap-gene-0.40&CDS=1-1530	YPL181W
OG0003903	genemark-HE978326-processed-gene-0.81-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.81&CDS=1-663	YPL177C
OG0003904	genemark-HE978326-processed-gene-0.58-mRNA-1_1&gene=genemark-HE978326-processed-gene-0.58&CDS=1-1113	YBR249C
OG0003905	maker-HE978326-augustus-gene-0.132-mRNA-1_1&gene=maker-HE978326-augustus-gene-0.132&CDS=1-3096	YBR248C
OG0003906	maker-HE978326-augustus-gene-0.134-mRNA-1_1&gene=maker-HE978326-augustus-gene-0.134&CDS=1-3090	YGL099W
OG0003907	genemark-HE978326-processed-gene-1.57-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.57&CDS=1-1359	YBR243C
OG0003908	snap_masked-HE978326-processed-gene-1.11-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-1.11&CDS=1-447	YGL103W
OG0003909	snap_masked-HE978326-processed-gene-1.8-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-1.8&CDS=1-1338	YBR240C
OG0003910	genemark-HE978326-processed-gene-1.83-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.83&CDS=1-1134	YGL105W
OG0003911	genemark-HE978326-processed-gene-1.63-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.63&CDS=1-1554	YBR239C
OG0003912	genemark-HE978326-processed-gene-1.64-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.64&CDS=1-2355	YBR238C
OG0003913	genemark-HE978326-processed-gene-1.84-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.84&CDS=1-2652	YBR237W
OG0003914	genemark-HE978326-processed-gene-1.65-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.65&CDS=1-1356	YBR236C
OG0003915	genemark-HE978326-processed-gene-1.85-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.85&CDS=1-3318	YBR235W
OG0003916	genemark-HE978326-processed-gene-1.86-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.86&CDS=1-1320	YGL111W
OG0003917	genemark-HE978326-processed-gene-1.66-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.66&CDS=1-903	YBR231C
OG0003918	maker-HE978326-snap-gene-1.105-mRNA-1_1&gene=maker-HE978326-snap-gene-1.105&CDS=1-426	YBR230C
OG0003919	augustus_masked-HE978326-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-1.117&CDS=1-2826	YBR229C
OG0003920	genemark-HE978326-processed-gene-1.88-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.88&CDS=1-873	YBR228W
OG0003921	genemark-HE978326-processed-gene-1.68-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.68&CDS=1-1569	YBR227C
OG0003922	snap_masked-HE978326-processed-gene-1.39-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-1.39&CDS=1-2667	YBR225W
OG0003923	snap_masked-HE978326-processed-gene-1.19-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-1.19&CDS=1-1497	YBR223C
OG0003924	genemark-HE978326-processed-gene-1.70-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.70&CDS=1-1626	YBR222C
OG0003925	genemark-HE978326-processed-gene-1.71-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.71&CDS=1-1101	YBR221C
OG0003926	genemark-HE978326-processed-gene-1.90-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.90&CDS=1-492	YBR217W
OG0003927	snap_masked-HE978326-processed-gene-1.41-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-1.41&CDS=1-819	YBR215W
OG0003928	genemark-HE978326-processed-gene-1.92-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.92&CDS=1-1281	YBR214W
OG0003929	snap_masked-HE978326-processed-gene-1.43-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-1.43&CDS=1-798	YBR213W
OG0003930	snap_masked-HE978326-processed-gene-1.25-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-1.25&CDS=1-864	YBR211C
OG0003931	genemark-HE978326-processed-gene-1.94-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.94&CDS=1-5439	YOR191W
OG0003932	snap_masked-HE978326-processed-gene-1.46-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-1.46&CDS=1-336	YOR189W
OG0003933	genemark-HE978326-processed-gene-1.97-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.97&CDS=1-5115	YOR187W
OG0003934	genemark-HE978326-processed-gene-1.98-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.98&CDS=1-1188	YOR184W
OG0003935	genemark-HE978326-processed-gene-1.99-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.99&CDS=1-1881	YOR181W
OG0003936	snap_masked-HE978326-processed-gene-1.29-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-1.29&CDS=1-489	YOR179C
OG0003937	genemark-HE978326-processed-gene-1.100-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.100&CDS=1-1191	YOR176W
OG0003938	genemark-HE978326-processed-gene-1.81-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.81&CDS=1-1893	YOR175C
OG0003939	genemark-HE978326-processed-gene-1.82-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.82&CDS=1-537	YOR163W
OG0003940	genemark-HE978326-processed-gene-1.104-mRNA-1_1&gene=genemark-HE978326-processed-gene-1.104&CDS=1-960	YOR164C
OG0003941	genemark-HE978326-processed-gene-2.55-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.55&CDS=1-2385	YOR165W
OG0003942	snap_masked-HE978326-processed-gene-2.108-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-2.108&CDS=1-1452	YOR166C
OG0003943	snap_masked-HE978326-processed-gene-2.109-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-2.109&CDS=1-3000	YKL033W
OG0003944	genemark-HE978326-processed-gene-2.56-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.56&CDS=1-2397	YOR168W
OG0003945	genemark-HE978326-processed-gene-2.60-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.60&CDS=1-2850	YEL061C
OG0003946	maker-HE978326-augustus-gene-2.7-mRNA-1_1&gene=maker-HE978326-augustus-gene-2.7&CDS=1-2697	YEL062W
OG0003947	augustus_masked-HE978326-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-2.13&CDS=1-3480	YML002W
OG0003948	genemark-HE978326-processed-gene-2.87-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.87&CDS=1-1017	YOR007C
OG0003949	genemark-HE978326-processed-gene-2.64-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.64&CDS=1-621	YML001W
OG0003950	genemark-HE978326-processed-gene-2.90-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.90&CDS=1-2214	YOR001W
OG0003951	snap_masked-HE978326-processed-gene-2.150-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-2.150&CDS=1-2298	YLR045C
OG0003952	genemark-HE978326-processed-gene-2.66-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.66&CDS=1-738	YJR024C
OG0003953	augustus_masked-HE978326-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-2.44&CDS=1-306	YJR022W
OG0003954	snap_masked-HE978326-processed-gene-2.121-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-2.121&CDS=1-1071	YJR019C
OG0003955	snap_masked-HE978326-processed-gene-2.122-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-2.122&CDS=1-561	YJR017C
OG0003956	genemark-HE978326-processed-gene-2.68-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.68&CDS=1-1278	YGR202C
OG0003957	genemark-HE978326-processed-gene-2.94-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.94&CDS=1-606	YJR014W
OG0003958	genemark-HE978326-processed-gene-2.95-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.95&CDS=1-741	YGR195W
OG0003959	genemark-HE978326-processed-gene-2.96-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.96&CDS=1-1227	YJR013W
OG0003960	augustus_masked-HE978326-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-2.23&CDS=1-714	YJR011C
OG0003961	augustus_masked-HE978326-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-2.24&CDS=1-276	YJR010C-A
OG0003962	genemark-HE978326-processed-gene-2.97-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.97&CDS=1-1002	YJR008W
OG0003963	genemark-HE978326-processed-gene-2.71-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.71&CDS=1-1410	YGR189C
OG0003964	genemark-HE978326-processed-gene-2.72-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.72&CDS=1-480	YJL011C
OG0003965	genemark-HE978326-processed-gene-2.73-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.73&CDS=1-2154	YJL012C
OG0003966	maker-HE978326-augustus-gene-2.6-mRNA-1_1&gene=maker-HE978326-augustus-gene-2.6&CDS=1-3639	YHR030C
OG0003967	genemark-HE978326-processed-gene-2.76-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.76&CDS=1-885	YHR029C
OG0003968	genemark-HE978326-processed-gene-2.77-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.77&CDS=1-2577	YHR028C
OG0003969	genemark-HE978326-processed-gene-2.78-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.78&CDS=1-1806	YDR292C
OG0003970	genemark-HE978326-processed-gene-2.98-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.98&CDS=1-3210	YDR291W
OG0003971	genemark-HE978326-processed-gene-2.79-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.79&CDS=1-1104	YDR289C
OG0003972	genemark-HE978326-processed-gene-2.80-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.80&CDS=1-1230	YDR306C
OG0003973	genemark-HE978326-processed-gene-2.81-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.81&CDS=1-615	YDR305C
OG0003974	augustus_masked-HE978326-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-2.35&CDS=1-2850	YDR303C
OG0003975	genemark-HE978326-processed-gene-2.102-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.102&CDS=1-660	YDR302W
OG0003976	genemark-HE978326-processed-gene-2.103-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.103&CDS=1-4035	YDR301W
OG0003977	genemark-HE978326-processed-gene-2.83-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.83&CDS=1-1281	YDR300C
OG0003978	genemark-HE978326-processed-gene-2.104-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.104&CDS=1-1596	YDR299W
OG0003979	genemark-HE978326-processed-gene-2.84-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.84&CDS=1-603	YDR298C
OG0003980	genemark-HE978326-processed-gene-2.105-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.105&CDS=1-615	YDR296W
OG0003981	snap_masked-HE978326-processed-gene-3.0-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-3.0&CDS=1-1950	YDR295C
OG0003982	genemark-HE978326-processed-gene-3.46-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.46&CDS=1-1722	YDR294C
OG0003983	genemark-HE978326-processed-gene-3.47-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.47&CDS=1-4911	YDR293C
OG0003984	genemark-HE978326-processed-gene-3.65-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.65&CDS=1-372	YJL003W
OG0003985	genemark-HE978326-processed-gene-3.49-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.49&CDS=1-591	YJL004C
OG0003986	genemark-HE978326-processed-gene-3.66-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.66&CDS=1-6033	YJL005W
OG0003987	augustus_masked-HE978326-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-3.93&CDS=1-990	YLR017W
OG0003988	augustus_masked-HE978326-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-3.109&CDS=1-1065	YLR018C
OG0003989	genemark-HE978326-processed-gene-3.51-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.51&CDS=1-1185	YLR019W
OG0003990	genemark-HE978326-processed-gene-3.68-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.68&CDS=1-1455	YLL011W
OG0003991	genemark-HE978326-processed-gene-3.69-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.69&CDS=1-1599	YLR020C
OG0003992	genemark-HE978326-processed-gene-3.52-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.52&CDS=1-522	YLR021W
OG0003993	genemark-HE978326-processed-gene-3.70-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.70&CDS=1-753	YLR022C
OG0003994	augustus_masked-HE978326-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-3.96&CDS=1-1914	YJR001W
OG0003995	genemark-HE978326-processed-gene-3.71-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.71&CDS=1-2055	YLR002C
OG0003996	snap_masked-HE978326-processed-gene-3.25-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-3.25&CDS=1-1557	YJR003C
OG0003997	genemark-HE978326-processed-gene-3.73-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.73&CDS=1-4296	YNL088W
OG0003998	genemark-HE978326-processed-gene-3.74-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.74&CDS=1-558	YNL090W
OG0003999	genemark-HE978326-processed-gene-3.75-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.75&CDS=1-3873	YNL091W
OG0004000	genemark-HE978326-processed-gene-3.76-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.76&CDS=1-3228	YNL094W
OG0004001	genemark-HE978326-processed-gene-3.54-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.54&CDS=1-336	YKR083C
OG0004002	genemark-HE978326-processed-gene-3.57-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.57&CDS=1-642	YIL127C
OG0004003	genemark-HE978326-processed-gene-3.78-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.78&CDS=1-3090	YIL128W
OG0004004	genemark-HE978326-processed-gene-3.58-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.58&CDS=1-2301	YNL068C
OG0004005	maker-HE978326-augustus-gene-3.133-mRNA-1_1&gene=maker-HE978326-augustus-gene-3.133&CDS=1-1608	YNL071W
OG0004006	genemark-HE978326-processed-gene-3.80-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.80&CDS=1-903	YNL072W
OG0004007	genemark-HE978326-processed-gene-3.81-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.81&CDS=1-1713	YNL073W
OG0004008	genemark-HE978326-processed-gene-3.82-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.82&CDS=1-858	YNL075W
OG0004009	snap_masked-HE978326-processed-gene-3.36-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-3.36&CDS=1-1881	YNL076W
OG0004010	genemark-HE978326-processed-gene-3.85-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.85&CDS=1-1380	YNL077W
OG0004011	snap_masked-HE978326-processed-gene-3.39-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-3.39&CDS=1-738	YNL078W
OG0004012	genemark-HE978326-processed-gene-3.61-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.61&CDS=1-921	YNL080C
OG0004013	genemark-HE978326-processed-gene-3.62-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.62&CDS=1-363	YNL081C
OG0004014	genemark-HE978326-processed-gene-3.63-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.63&CDS=1-3831	YMR012W
OG0004015	genemark-HE978326-processed-gene-3.88-mRNA-1_1&gene=genemark-HE978326-processed-gene-3.88&CDS=1-1428	YMR013C
OG0004016	genemark-HE978326-processed-gene-4.127-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.127&CDS=1-1248	YMR014W
OG0004017	genemark-HE978326-processed-gene-4.130-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.130&CDS=1-1548	YMR015C
OG0004018	augustus_masked-HE978326-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-4.70&CDS=1-510	YKL043W
OG0004019	genemark-HE978326-processed-gene-4.128-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.128&CDS=1-1824	YMR019W
OG0004020	genemark-HE978326-processed-gene-4.129-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.129&CDS=1-1521	YMR020W
OG0004021	genemark-HE978326-processed-gene-4.132-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.132&CDS=1-1287	YMR021C
OG0004022	genemark-HE978326-processed-gene-4.133-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.133&CDS=1-510	YMR022W
OG0004023	genemark-HE978326-processed-gene-4.161-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.161&CDS=1-1455	YMR023C
OG0004024	genemark-HE978326-processed-gene-4.134-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.134&CDS=1-1104	YMR024W
OG0004025	augustus_masked-HE978326-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-4.74&CDS=1-708	YMR025W
OG0004026	augustus_masked-HE978326-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-4.101&CDS=1-1011	YMR026C
OG0004027	genemark-HE978326-processed-gene-4.136-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.136&CDS=1-1410	YMR027W
OG0004028	genemark-HE978326-processed-gene-4.137-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.137&CDS=1-1092	YMR028W
OG0004029	augustus_masked-HE978326-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-4.102&CDS=1-3138	YKL057C
OG0004030	augustus_masked-HE978326-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-4.103&CDS=1-1596	YMR029C
OG0004031	augustus_masked-HE978326-processed-gene-4.104-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-4.104&CDS=1-2088	YKL054C
OG0004032	genemark-HE978326-processed-gene-4.166-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.166&CDS=1-2541	YMR031C
OG0004033	genemark-HE978326-processed-gene-4.139-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.139&CDS=1-2106	YMR032W
OG0004034	genemark-HE978326-processed-gene-4.167-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.167&CDS=1-1398	YMR034C
OG0004035	genemark-HE978326-processed-gene-4.140-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.140&CDS=1-477	YMR035W
OG0004036	genemark-HE978326-processed-gene-4.168-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.168&CDS=1-1263	YMR036C
OG0004037	genemark-HE978326-processed-gene-4.170-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.170&CDS=1-741	YMR038C
OG0004038	maker-HE978326-augustus-gene-4.3-mRNA-1_1&gene=maker-HE978326-augustus-gene-4.3&CDS=1-1821	YMR041C
OG0004039	genemark-HE978326-processed-gene-4.141-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.141&CDS=1-504	YMR042W
OG0004040	snap_masked-HE978326-processed-gene-4.20-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-4.20&CDS=1-603	YMR048W
OG0004041	genemark-HE978326-processed-gene-4.144-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.144&CDS=1-765	YIR036C
OG0004042	genemark-HE978326-processed-gene-4.146-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.146&CDS=1-1074	YIR026C
OG0004043	augustus_masked-HE978326-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-4.115&CDS=1-5100	YKL014C
OG0004044	augustus_masked-HE978326-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-4.85&CDS=1-735	YIR024C
OG0004045	genemark-HE978326-processed-gene-4.178-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.178&CDS=1-2946	YIR023W
OG0004046	genemark-HE978326-processed-gene-4.148-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.148&CDS=1-1818	YKL012W
OG0004047	genemark-HE978326-processed-gene-4.150-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.150&CDS=1-1488	YKL088W
OG0004048	snap_masked-HE978326-processed-gene-4.28-mRNA-1_1&gene=snap_masked-HE978326-processed-gene-4.28&CDS=1-279	YHR005C-A
