	Metschnikowia_ipomoeae	Saccharomyces_cerevisiae
OG0003087	snap_masked-ipo_s8-processed-gene-0.68-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.68&CDS=1-684	YML041C
OG0003088	snap_masked-ipo_s8-processed-gene-0.57-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.57&CDS=1-8205	YGL195W
OG0003089	snap_masked-ipo_s8-processed-gene-0.58-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.58&CDS=1-1194	YHL024W
OG0003090	snap_masked-ipo_s8-processed-gene-0.60-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.60&CDS=1-2529	YNL186W
OG0003091	snap_masked-ipo_s8-processed-gene-0.70-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.70&CDS=1-633	YBL049W
OG0003092	maker-ipo_s8-snap-gene-0.54-mRNA-1_1&gene=maker-ipo_s8-snap-gene-0.54&CDS=1-963	YNL177C
OG0003093	snap_masked-ipo_s8-processed-gene-0.73-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.73&CDS=1-624	YDL212W
OG0003094	snap_masked-ipo_s8-processed-gene-0.75-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.75&CDS=1-801	YDL213C
OG0003095	snap_masked-ipo_s8-processed-gene-0.76-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.76&CDS=1-1380	YNL182C
OG0003096	snap_masked-ipo_s8-processed-gene-0.62-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.62&CDS=1-1344	YNL181W
OG0003097	snap_masked-ipo_s8-processed-gene-0.78-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.78&CDS=1-429	YNL185C
OG0003098	snap_masked-ipo_s8-processed-gene-0.80-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.80&CDS=1-1413	YPL247C
OG0003099	snap_masked-ipo_s80-processed-gene-0.75-mRNA-1_1&gene=snap_masked-ipo_s80-processed-gene-0.75&CDS=1-1080	YOR006C
OG0003100	snap_masked-ipo_s80-processed-gene-0.76-mRNA-1_1&gene=snap_masked-ipo_s80-processed-gene-0.76&CDS=1-1380	YJL026W
OG0003101	snap_masked-ipo_s80-processed-gene-0.64-mRNA-1_1&gene=snap_masked-ipo_s80-processed-gene-0.64&CDS=1-1329	YDR393W
OG0003102	snap_masked-ipo_s80-processed-gene-0.83-mRNA-1_1&gene=snap_masked-ipo_s80-processed-gene-0.83&CDS=1-468	YML073C
OG0003103	snap_masked-ipo_s80-processed-gene-0.84-mRNA-1_1&gene=snap_masked-ipo_s80-processed-gene-0.84&CDS=1-4239	YML072C
OG0003104	genemark-ipo_s80-processed-gene-0.33-mRNA-1_1&gene=genemark-ipo_s80-processed-gene-0.33&CDS=1-666	YML064C
OG0003105	snap_masked-ipo_s80-processed-gene-0.90-mRNA-1_1&gene=snap_masked-ipo_s80-processed-gene-0.90&CDS=1-1707	YLR433C
OG0003106	snap_masked-ipo_s80-processed-gene-0.91-mRNA-1_1&gene=snap_masked-ipo_s80-processed-gene-0.91&CDS=1-1320	YKL184W
OG0003107	snap_masked-ipo_s80-processed-gene-0.92-mRNA-1_1&gene=snap_masked-ipo_s80-processed-gene-0.92&CDS=1-2349	YNR006W
OG0003108	augustus_masked-ipo_s80-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ipo_s80-processed-gene-0.25&CDS=1-741	YMR200W
OG0003109	snap_masked-ipo_s80-processed-gene-0.96-mRNA-1_1&gene=snap_masked-ipo_s80-processed-gene-0.96&CDS=1-648	YMR202W
OG0003110	augustus_masked-ipo_s81-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-ipo_s81-processed-gene-0.68&CDS=1-2364	YHR204W
OG0003111	maker-ipo_s81-snap-gene-0.0-mRNA-1_1&gene=maker-ipo_s81-snap-gene-0.0&CDS=1-2442	YNL256W
OG0003112	augustus_masked-ipo_s81-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-ipo_s81-processed-gene-0.59&CDS=1-1521	YFR034C
OG0003113	snap_masked-ipo_s81-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ipo_s81-processed-gene-0.14&CDS=1-588	YKL144C
OG0003114	snap_masked-ipo_s81-processed-gene-0.27-mRNA-1_1&gene=snap_masked-ipo_s81-processed-gene-0.27&CDS=1-1335	YKL145W
OG0003115	snap_masked-ipo_s81-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ipo_s81-processed-gene-0.29&CDS=1-723	YDR296W
OG0003116	snap_masked-ipo_s81-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ipo_s81-processed-gene-0.15&CDS=1-1899	YHR078W
OG0003117	snap_masked-ipo_s81-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s81-processed-gene-0.17&CDS=1-1962	YBR121C
OG0003118	augustus_masked-ipo_s82-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ipo_s82-processed-gene-0.3&CDS=1-603	YPL252C
OG0003119	snap_masked-ipo_s83-processed-gene-0.171-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.171&CDS=1-1728	YKR016W
OG0003120	snap_masked-ipo_s83-processed-gene-0.173-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.173&CDS=1-1830	YMR092C
OG0003121	snap_masked-ipo_s83-processed-gene-0.174-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.174&CDS=1-2091	YEL011W
OG0003122	snap_masked-ipo_s83-processed-gene-0.175-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.175&CDS=1-1938	YMR106C
OG0003123	snap_masked-ipo_s83-processed-gene-0.220-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.220&CDS=1-1101	YMR097C
OG0003124	snap_masked-ipo_s83-processed-gene-0.176-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.176&CDS=1-864	YKL110C
OG0003125	snap_masked-ipo_s83-processed-gene-0.221-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.221&CDS=1-738	YKL099C
OG0003126	snap_masked-ipo_s83-processed-gene-0.177-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.177&CDS=1-1806	YMR098C
OG0003127	snap_masked-ipo_s83-processed-gene-0.222-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.222&CDS=1-1512	YKR023W
OG0003128	snap_masked-ipo_s83-processed-gene-0.180-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.180&CDS=1-1440	YJL106W
OG0003129	snap_masked-ipo_s83-processed-gene-0.181-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.181&CDS=1-906	YGR127W
OG0003130	snap_masked-ipo_s83-processed-gene-0.182-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.182&CDS=1-996	YPR147C
OG0003131	snap_masked-ipo_s83-processed-gene-0.184-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.184&CDS=1-1011	YBR034C
OG0003132	snap_masked-ipo_s83-processed-gene-0.185-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.185&CDS=1-381	YCL033C
OG0003133	snap_masked-ipo_s83-processed-gene-0.223-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.223&CDS=1-945	YDL015C
OG0003134	snap_masked-ipo_s83-processed-gene-0.186-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.186&CDS=1-450	YOR298C-A
OG0003135	maker-ipo_s83-augustus-gene-0.166-mRNA-1_1&gene=maker-ipo_s83-augustus-gene-0.166&CDS=1-6021	YJL109C
OG0003136	snap_masked-ipo_s83-processed-gene-0.187-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.187&CDS=1-1692	YOR348C
OG0003137	snap_masked-ipo_s83-processed-gene-0.189-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.189&CDS=1-210	YBL071W-A
OG0003138	snap_masked-ipo_s83-processed-gene-0.191-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.191&CDS=1-690	YAR008W
OG0003139	snap_masked-ipo_s83-processed-gene-0.229-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.229&CDS=1-2784	YJL154C
OG0003140	snap_masked-ipo_s83-processed-gene-0.231-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.231&CDS=1-5535	YNL242W
OG0003141	augustus_masked-ipo_s83-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-ipo_s83-processed-gene-0.138&CDS=1-1272	YKR063C
OG0003142	augustus_masked-ipo_s83-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-ipo_s83-processed-gene-0.105&CDS=1-2493	YAL010C
OG0003143	snap_masked-ipo_s83-processed-gene-0.234-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.234&CDS=1-2499	YAL011W
OG0003144	snap_masked-ipo_s83-processed-gene-0.235-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.235&CDS=1-2496	YHR102W
OG0003145	maker-ipo_s83-augustus-gene-0.164-mRNA-1_1&gene=maker-ipo_s83-augustus-gene-0.164&CDS=1-1935	YOR202W
OG0003146	genemark-ipo_s83-processed-gene-0.63-mRNA-1_1&gene=genemark-ipo_s83-processed-gene-0.63&CDS=1-1248	YHR016C
OG0003147	snap_masked-ipo_s83-processed-gene-0.198-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.198&CDS=1-1671	YEL013W
OG0003148	snap_masked-ipo_s83-processed-gene-0.238-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.238&CDS=1-975	YGL091C
OG0003149	augustus_masked-ipo_s83-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-ipo_s83-processed-gene-0.145&CDS=1-4275	YGL092W
OG0003150	snap_masked-ipo_s83-processed-gene-0.240-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.240&CDS=1-1464	YEL015W
OG0003151	maker-ipo_s83-augustus-gene-0.165-mRNA-1_1&gene=maker-ipo_s83-augustus-gene-0.165&CDS=1-3357	YGR155W
OG0003152	snap_masked-ipo_s83-processed-gene-0.242-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.242&CDS=1-867	YGL043W
OG0003153	snap_masked-ipo_s83-processed-gene-0.202-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.202&CDS=1-714	YGL044C
OG0003154	snap_masked-ipo_s83-processed-gene-0.208-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.208&CDS=1-3474	YPR022C
OG0003155	snap_masked-ipo_s83-processed-gene-0.244-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.244&CDS=1-783	YER126C
OG0003156	snap_masked-ipo_s83-processed-gene-0.209-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.209&CDS=1-1038	YER127W
OG0003157	augustus_masked-ipo_s83-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-ipo_s83-processed-gene-0.152&CDS=1-1371	YGL175C
OG0003158	snap_masked-ipo_s83-processed-gene-0.210-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.210&CDS=1-1350	YGL172W
OG0003159	snap_masked-ipo_s83-processed-gene-0.211-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.211&CDS=1-846	YGL174W
OG0003160	snap_masked-ipo_s83-processed-gene-0.247-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.247&CDS=1-2151	YPR021C
OG0003161	augustus_masked-ipo_s83-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-ipo_s83-processed-gene-0.120&CDS=1-288	YLL018C-A
OG0003162	snap_masked-ipo_s83-processed-gene-0.248-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.248&CDS=1-4389	YGL173C
OG0003163	snap_masked-ipo_s83-processed-gene-0.214-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.214&CDS=1-1896	YLL019C
OG0003164	snap_masked-ipo_s83-processed-gene-0.251-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.251&CDS=1-522	YBR217W
OG0003165	snap_masked-ipo_s83-processed-gene-0.252-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.252&CDS=1-1380	YBR215W
OG0003166	snap_masked-ipo_s83-processed-gene-0.253-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.253&CDS=1-1398	YGL059W
OG0003167	snap_masked-ipo_s83-processed-gene-0.254-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.254&CDS=1-495	YGL058W
OG0003168	snap_masked-ipo_s83-processed-gene-0.255-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.255&CDS=1-1665	YEL060C
OG0003169	augustus_masked-ipo_s84-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ipo_s84-processed-gene-0.9&CDS=1-3156	YMR189W
OG0003170	snap_masked-ipo_s84-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_s84-processed-gene-0.12&CDS=1-1452	YGL055W
OG0003171	snap_masked-ipo_s85-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_s85-processed-gene-0.0&CDS=1-735	YPR016C
OG0003172	snap_masked-ipo_s86-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-0.5&CDS=1-1674	YOR386W
OG0003173	snap_masked-ipo_s86-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-0.6&CDS=1-1149	YLR403W
OG0003174	snap_masked-ipo_s86-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-0.8&CDS=1-1518	YLR133W
OG0003175	maker-ipo_s86-augustus-gene-0.80-mRNA-1_1&gene=maker-ipo_s86-augustus-gene-0.80&CDS=1-3753	YDR142C
OG0003176	augustus_masked-ipo_s86-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-ipo_s86-processed-gene-0.40&CDS=1-447	YFR033C
OG0003177	snap_masked-ipo_s86-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-0.18&CDS=1-4908	YLL048C
OG0003178	snap_masked-ipo_s86-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-0.19&CDS=1-1608	YHL036W
OG0003179	genemark-ipo_s86-processed-gene-1.57-mRNA-1_1&gene=genemark-ipo_s86-processed-gene-1.57&CDS=1-1059	YMR166C
OG0003180	snap_masked-ipo_s86-processed-gene-1.99-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.99&CDS=1-1248	YDL104C
OG0003181	snap_masked-ipo_s86-processed-gene-1.105-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.105&CDS=1-1029	YDL105W
OG0003182	snap_masked-ipo_s86-processed-gene-1.100-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.100&CDS=1-2109	YMR167W
OG0003183	snap_masked-ipo_s86-processed-gene-1.101-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.101&CDS=1-2820	YGR198W
OG0003184	snap_masked-ipo_s86-processed-gene-1.106-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.106&CDS=1-609	YJR014W
OG0003185	maker-ipo_s86-augustus-gene-1.2-mRNA-1_1&gene=maker-ipo_s86-augustus-gene-1.2&CDS=1-2190	YGL141W
OG0003186	snap_masked-ipo_s86-processed-gene-1.130-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.130&CDS=1-426	YBR167C
OG0003187	augustus_masked-ipo_s86-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-ipo_s86-processed-gene-1.35&CDS=1-585	YLR009W
OG0003188	snap_masked-ipo_s86-processed-gene-1.108-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.108&CDS=1-462	YLR008C
OG0003189	snap_masked-ipo_s86-processed-gene-1.132-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.132&CDS=1-423	YGR203W
OG0003190	snap_masked-ipo_s86-processed-gene-1.110-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.110&CDS=1-1287	YGR202C
OG0003191	snap_masked-ipo_s86-processed-gene-1.111-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.111&CDS=1-1251	YLL006W
OG0003192	snap_masked-ipo_s86-processed-gene-1.133-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.133&CDS=1-759	YGR262C
OG0003193	snap_masked-ipo_s86-processed-gene-1.112-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.112&CDS=1-2556	YGL227W
OG0003194	snap_masked-ipo_s86-processed-gene-1.135-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.135&CDS=1-870	YGR062C
OG0003195	snap_masked-ipo_s86-processed-gene-1.113-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.113&CDS=1-336	YGR063C
OG0003196	snap_masked-ipo_s86-processed-gene-1.136-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.136&CDS=1-3939	YGR270W
OG0003197	snap_masked-ipo_s86-processed-gene-1.137-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.137&CDS=1-1560	YGR171C
OG0003198	snap_masked-ipo_s86-processed-gene-1.138-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.138&CDS=1-753	YGR172C
OG0003199	augustus_masked-ipo_s86-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-ipo_s86-processed-gene-1.19&CDS=1-5031	YGR170W
OG0003200	snap_masked-ipo_s86-processed-gene-1.139-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.139&CDS=1-2244	YGR264C
OG0003201	augustus_masked-ipo_s86-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-ipo_s86-processed-gene-1.20&CDS=1-1413	YMR293C
OG0003202	snap_masked-ipo_s86-processed-gene-1.140-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.140&CDS=1-828	YGR267C
OG0003203	snap_masked-ipo_s86-processed-gene-1.141-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.141&CDS=1-3564	YDR293C
OG0003204	snap_masked-ipo_s86-processed-gene-1.142-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.142&CDS=1-1407	YJR006W
OG0003205	snap_masked-ipo_s86-processed-gene-1.143-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.143&CDS=1-2856	YLR014C
OG0003206	snap_masked-ipo_s86-processed-gene-1.144-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.144&CDS=1-2070	YGR266W
OG0003207	snap_masked-ipo_s86-processed-gene-1.119-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.119&CDS=1-1506	YLR015W
OG0003208	snap_masked-ipo_s86-processed-gene-1.122-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.122&CDS=1-2946	YGR240C
OG0003209	maker-ipo_s86-augustus-gene-1.3-mRNA-1_1&gene=maker-ipo_s86-augustus-gene-1.3&CDS=1-432	YMR292W
OG0003210	genemark-ipo_s86-processed-gene-1.76-mRNA-1_1&gene=genemark-ipo_s86-processed-gene-1.76&CDS=1-741	YGR268C
OG0003211	snap_masked-ipo_s86-processed-gene-2.101-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.101&CDS=1-1770	YHR037W
OG0003212	augustus_masked-ipo_s86-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-ipo_s86-processed-gene-2.51&CDS=1-1095	YMR294W
OG0003213	snap_masked-ipo_s86-processed-gene-2.103-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.103&CDS=1-1101	YGR173W
OG0003214	snap_masked-ipo_s86-processed-gene-2.100-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.100&CDS=1-672	YGR271C-A
OG0003215	snap_masked-ipo_s86-processed-gene-2.104-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.104&CDS=1-5784	YGR271W
OG0003216	snap_masked-ipo_s86-processed-gene-2.105-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.105&CDS=1-1728	YMR290C
OG0003217	snap_masked-ipo_s86-processed-gene-2.106-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.106&CDS=1-471	YJL011C
OG0003218	snap_masked-ipo_s86-processed-gene-2.107-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.107&CDS=1-306	YNL086W
OG0003219	maker-ipo_s86-augustus-gene-2.98-mRNA-1_1&gene=maker-ipo_s86-augustus-gene-2.98&CDS=1-3240	YOR085W
OG0003220	augustus_masked-ipo_s86-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-ipo_s86-processed-gene-2.57&CDS=1-1527	YGL142C
OG0003221	snap_masked-ipo_s86-processed-gene-2.111-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.111&CDS=1-1560	YDL106C
OG0003222	maker-ipo_s86-augustus-gene-2.96-mRNA-1_1&gene=maker-ipo_s86-augustus-gene-2.96&CDS=1-1284	YDL107W
OG0003223	augustus_masked-ipo_s86-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-ipo_s86-processed-gene-2.81&CDS=1-2487	YER157W
OG0003224	augustus_masked-ipo_s86-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-ipo_s86-processed-gene-2.62&CDS=1-1758	YIL150C
OG0003225	augustus_masked-ipo_s86-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-ipo_s86-processed-gene-2.64&CDS=1-1020	YER156C
OG0003226	snap_masked-ipo_s86-processed-gene-2.115-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.115&CDS=1-1002	YGL225W
OG0003227	augustus_masked-ipo_s86-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-ipo_s86-processed-gene-2.66&CDS=1-2955	YGL238W
OG0003228	snap_masked-ipo_s86-processed-gene-2.135-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.135&CDS=1-726	YGL237C
OG0003229	snap_masked-ipo_s86-processed-gene-2.136-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.136&CDS=1-846	YLR003C
OG0003230	snap_masked-ipo_s86-processed-gene-2.118-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.118&CDS=1-2031	YGL236C
OG0003231	snap_masked-ipo_s86-processed-gene-2.138-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.138&CDS=1-711	YFR027W
OG0003232	snap_masked-ipo_s86-processed-gene-2.120-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.120&CDS=1-894	YFR047C
OG0003233	snap_masked-ipo_s86-processed-gene-2.139-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.139&CDS=1-903	YGL240W
OG0003234	genemark-ipo_s86-processed-gene-2.40-mRNA-1_1&gene=genemark-ipo_s86-processed-gene-2.40&CDS=1-2271	YJL101C
OG0003235	snap_masked-ipo_s86-processed-gene-2.142-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.142&CDS=1-2379	YGL234W
OG0003236	snap_masked-ipo_s86-processed-gene-2.143-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.143&CDS=1-1101	YMR024W
OG0003237	maker-ipo_s86-augustus-gene-2.97-mRNA-1_1&gene=maker-ipo_s86-augustus-gene-2.97&CDS=1-1197	YDR354W
OG0003238	snap_masked-ipo_s86-processed-gene-2.144-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.144&CDS=1-1272	YDR414C
OG0003239	snap_masked-ipo_s86-processed-gene-2.145-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.145&CDS=1-747	YDR412W
OG0003240	snap_masked-ipo_s86-processed-gene-2.123-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.123&CDS=1-558	YHR081W
OG0003241	snap_masked-ipo_s86-processed-gene-2.146-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.146&CDS=1-3348	YHR079C
OG0003242	snap_masked-ipo_s86-processed-gene-2.124-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.124&CDS=1-1212	YDR329C
OG0003243	snap_masked-ipo_s86-processed-gene-2.125-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.125&CDS=1-495	YDR328C
OG0003244	snap_masked-ipo_s86-processed-gene-2.149-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.149&CDS=1-1407	YDR330W
OG0003245	snap_masked-ipo_s86-processed-gene-2.127-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.127&CDS=1-2277	YHR082C
OG0003246	augustus_masked-ipo_s86-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-ipo_s86-processed-gene-3.61&CDS=1-3318	YPL162C
OG0003247	snap_masked-ipo_s86-processed-gene-3.2-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.2&CDS=1-3474	YDR027C
OG0003248	snap_masked-ipo_s86-processed-gene-3.4-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.4&CDS=1-1203	YPR118W
OG0003249	snap_masked-ipo_s86-processed-gene-3.5-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.5&CDS=1-1362	YMR026C
OG0003250	snap_masked-ipo_s86-processed-gene-3.6-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.6&CDS=1-1308	YIL033C
OG0003251	augustus_masked-ipo_s86-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-ipo_s86-processed-gene-3.88&CDS=1-6432	YNL014W
OG0003252	snap_masked-ipo_s86-processed-gene-3.35-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.35&CDS=1-525	YCR046C
OG0003253	snap_masked-ipo_s86-processed-gene-3.36-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.36&CDS=1-804	YCR047C
OG0003254	snap_masked-ipo_s86-processed-gene-3.38-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.38&CDS=1-687	YNR020C
OG0003255	snap_masked-ipo_s86-processed-gene-3.11-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.11&CDS=1-648	YCR051W
OG0003256	snap_masked-ipo_s86-processed-gene-3.12-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.12&CDS=1-1044	YNR021W
OG0003257	snap_masked-ipo_s86-processed-gene-3.13-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.13&CDS=1-1002	YHR040W
OG0003258	snap_masked-ipo_s86-processed-gene-3.14-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.14&CDS=1-672	YOR319W
OG0003259	snap_masked-ipo_s86-processed-gene-3.15-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.15&CDS=1-1428	YNR023W
OG0003260	snap_masked-ipo_s86-processed-gene-3.16-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.16&CDS=1-1737	YLL028W
OG0003261	snap_masked-ipo_s86-processed-gene-3.17-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.17&CDS=1-771	YNL312W
OG0003262	snap_masked-ipo_s86-processed-gene-3.44-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.44&CDS=1-5061	YLR247C
OG0003263	snap_masked-ipo_s86-processed-gene-3.46-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.46&CDS=1-1596	YLR248W
