	Kuraishia_capsulata	Saccharomyces_cerevisiae
OG0003278	genemark-HG793131-processed-gene-1.130-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.130&CDS=1-1494	YOL122C
OG0003279	augustus_masked-HG793131-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-1.32&CDS=1-14847	YLR106C
OG0003280	genemark-HG793131-processed-gene-1.133-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.133&CDS=1-1086	YPL096W
OG0003281	genemark-HG793131-processed-gene-1.134-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.134&CDS=1-894	YDR361C
OG0003282	genemark-HG793131-processed-gene-1.109-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.109&CDS=1-1470	YDR364C
OG0003283	genemark-HG793131-processed-gene-1.135-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.135&CDS=1-1278	YOR117W
OG0003284	maker-HG793131-snap-gene-1.46-mRNA-1_1&gene=maker-HG793131-snap-gene-1.46&CDS=1-3555	YAL021C
OG0003285	genemark-HG793131-processed-gene-1.136-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.136&CDS=1-750	YKL099C
OG0003286	augustus_masked-HG793131-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-1.17&CDS=1-963	YKL098W
OG0003287	genemark-HG793131-processed-gene-1.137-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.137&CDS=1-1782	YMR092C
OG0003288	augustus_masked-HG793131-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-1.38&CDS=1-2076	YMR106C
OG0003289	genemark-HG793131-processed-gene-1.139-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.139&CDS=1-1482	YMR093W
OG0003290	genemark-HG793131-processed-gene-1.140-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.140&CDS=1-657	YHR147C
OG0003291	genemark-HG793131-processed-gene-1.116-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.116&CDS=1-543	YHR148W
OG0003292	genemark-HG793131-processed-gene-1.142-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.142&CDS=1-402	YMR112C
OG0003293	genemark-HG793131-processed-gene-2.59-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.59&CDS=1-936	YMR116C
OG0003294	genemark-HG793131-processed-gene-2.60-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.60&CDS=1-2166	YLL029W
OG0003295	genemark-HG793131-processed-gene-2.64-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.64&CDS=1-636	YAL003W
OG0003296	genemark-HG793131-processed-gene-2.61-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.61&CDS=1-1104	YLR321C
OG0003297	genemark-HG793131-processed-gene-2.65-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.65&CDS=1-387	YNL153C
OG0003298	maker-HG793131-snap-gene-2.117-mRNA-1_1&gene=maker-HG793131-snap-gene-2.117&CDS=1-930	YLR316C
OG0003299	genemark-HG793131-processed-gene-2.68-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.68&CDS=1-762	YPL196W
OG0003300	genemark-HG793131-processed-gene-2.70-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.70&CDS=1-3147	YMR196W
OG0003301	genemark-HG793131-processed-gene-2.95-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.95&CDS=1-657	YMR197C
OG0003302	genemark-HG793131-processed-gene-2.71-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.71&CDS=1-483	YPL252C
OG0003303	genemark-HG793131-processed-gene-2.96-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.96&CDS=1-1155	YPL254W
OG0003304	genemark-HG793131-processed-gene-2.74-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.74&CDS=1-717	YMR200W
OG0003305	maker-HG793131-snap-gene-2.114-mRNA-1_1&gene=maker-HG793131-snap-gene-2.114&CDS=1-1863	YNR006W
OG0003306	snap_masked-HG793131-processed-gene-2.42-mRNA-1_1&gene=snap_masked-HG793131-processed-gene-2.42&CDS=1-1188	YOL031C
OG0003307	genemark-HG793131-processed-gene-2.102-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.102&CDS=1-1128	YAL020C
OG0003308	genemark-HG793131-processed-gene-2.79-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.79&CDS=1-3117	YAL019W
OG0003309	genemark-HG793131-processed-gene-2.104-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.104&CDS=1-1278	YAL010C
OG0003310	genemark-HG793131-processed-gene-2.80-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.80&CDS=1-1155	YAL009W
OG0003311	augustus_masked-HG793131-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-2.141&CDS=1-675	YPR107C
OG0003312	genemark-HG793131-processed-gene-2.106-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.106&CDS=1-2763	YPR105C
OG0003313	genemark-HG793131-processed-gene-2.84-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.84&CDS=1-480	YAL008W
OG0003314	genemark-HG793131-processed-gene-2.108-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.108&CDS=1-1101	YAL036C
OG0003315	genemark-HG793131-processed-gene-2.85-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.85&CDS=1-2931	YAL035W
OG0003316	snap_masked-HG793131-processed-gene-2.51-mRNA-1_1&gene=snap_masked-HG793131-processed-gene-2.51&CDS=1-1272	YBR078W
OG0003317	snap_masked-HG793131-processed-gene-2.29-mRNA-1_1&gene=snap_masked-HG793131-processed-gene-2.29&CDS=1-1365	YDR126W
OG0003318	genemark-HG793131-processed-gene-2.88-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.88&CDS=1-474	YKL167C
OG0003319	genemark-HG793131-processed-gene-2.89-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.89&CDS=1-1518	YHR007C
OG0003320	genemark-HG793131-processed-gene-2.111-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.111&CDS=1-912	YDR280W
OG0003321	augustus_masked-HG793131-processed-gene-2.170-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-2.170&CDS=1-1032	YDR279W
OG0003322	genemark-HG793131-processed-gene-2.91-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.91&CDS=1-528	YJR017C
OG0003323	augustus_masked-HG793131-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-3.2&CDS=1-1170	YPL112C
OG0003324	genemark-HG793131-processed-gene-3.48-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.48&CDS=1-678	YOR202W
OG0003325	genemark-HG793131-processed-gene-3.50-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.50&CDS=1-2583	YMR309C
OG0003326	genemark-HG793131-processed-gene-3.46-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.46&CDS=1-1095	YGL211W
OG0003327	snap_masked-HG793131-processed-gene-3.114-mRNA-1_1&gene=snap_masked-HG793131-processed-gene-3.114&CDS=1-6345	YFL007W
OG0003328	genemark-HG793131-processed-gene-3.51-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.51&CDS=1-474	YPR017C
OG0003329	genemark-HG793131-processed-gene-3.68-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.68&CDS=1-2331	YLR304C
OG0003330	genemark-HG793131-processed-gene-3.52-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.52&CDS=1-2688	YLL026W
OG0003331	genemark-HG793131-processed-gene-3.53-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.53&CDS=1-735	YPR016C
OG0003332	genemark-HG793131-processed-gene-3.54-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.54&CDS=1-5691	YLR305C
OG0003333	genemark-HG793131-processed-gene-3.70-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.70&CDS=1-1329	YDR148C
OG0003334	genemark-HG793131-processed-gene-3.71-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.71&CDS=1-1611	YNL138W
OG0003335	genemark-HG793131-processed-gene-3.55-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.55&CDS=1-2241	YNL059C
OG0003336	genemark-HG793131-processed-gene-3.72-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.72&CDS=1-1851	YNL061W
OG0003337	genemark-HG793131-processed-gene-3.56-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.56&CDS=1-1359	YNL062C
OG0003338	genemark-HG793131-processed-gene-3.73-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.73&CDS=1-912	YNL063W
OG0003339	genemark-HG793131-processed-gene-3.74-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.74&CDS=1-1425	YNL137C
OG0003340	genemark-HG793131-processed-gene-3.75-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.75&CDS=1-330	YNL135C
OG0003341	augustus_masked-HG793131-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-3.32&CDS=1-1281	YNL119W
OG0003342	augustus_masked-HG793131-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-3.15&CDS=1-282	YNL122C
OG0003343	genemark-HG793131-processed-gene-3.78-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.78&CDS=1-2988	YNL123W
OG0003344	maker-HG793131-augustus-gene-3.86-mRNA-1_1&gene=maker-HG793131-augustus-gene-3.86&CDS=1-5949	YHR120W
OG0003345	genemark-HG793131-processed-gene-3.80-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.80&CDS=1-1656	YNL124W
OG0003346	genemark-HG793131-processed-gene-3.64-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.64&CDS=1-3429	YDR104C
OG0003347	augustus_masked-HG793131-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-3.37&CDS=1-2538	YDR103W
OG0003348	genemark-HG793131-processed-gene-3.83-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.83&CDS=1-1179	YER178W
OG0003349	genemark-HG793131-processed-gene-3.65-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.65&CDS=1-8721	YER172C
OG0003350	genemark-HG793131-processed-gene-3.84-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.84&CDS=1-675	YER170W
OG0003351	maker-HG793131-snap-gene-4.4-mRNA-1_1&gene=maker-HG793131-snap-gene-4.4&CDS=1-378	YDR100W
OG0003352	genemark-HG793131-processed-gene-4.14-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.14&CDS=1-759	YER177W
OG0003353	genemark-HG793131-processed-gene-4.15-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.15&CDS=1-1710	YDR101C
OG0003354	genemark-HG793131-processed-gene-4.12-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.12&CDS=1-792	YIR030C
OG0003355	genemark-HG793131-processed-gene-4.42-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.42&CDS=1-1782	YER036C
OG0003356	genemark-HG793131-processed-gene-4.18-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.18&CDS=1-4260	YOR291W
OG0003357	genemark-HG793131-processed-gene-4.46-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.46&CDS=1-1416	YMR227C
OG0003358	augustus_masked-HG793131-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-4.114&CDS=1-963	YMR228W
OG0003359	snap_masked-HG793131-processed-gene-4.68-mRNA-1_1&gene=snap_masked-HG793131-processed-gene-4.68&CDS=1-726	YLR363C
OG0003360	genemark-HG793131-processed-gene-4.47-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.47&CDS=1-561	YGR058W
OG0003361	augustus_masked-HG793131-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-4.139&CDS=1-876	YOR313C
OG0003362	genemark-HG793131-processed-gene-4.25-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.25&CDS=1-1863	YPL263C
OG0003363	genemark-HG793131-processed-gene-4.52-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.52&CDS=1-966	YPL266W
OG0003364	snap_masked-HG793131-processed-gene-4.73-mRNA-1_1&gene=snap_masked-HG793131-processed-gene-4.73&CDS=1-3756	YDR407C
OG0003365	maker-HG793131-augustus-gene-4.6-mRNA-1_1&gene=maker-HG793131-augustus-gene-4.6&CDS=1-4788	YBL104C
OG0003366	genemark-HG793131-processed-gene-4.53-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.53&CDS=1-2100	YPR031W
OG0003367	genemark-HG793131-processed-gene-4.31-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.31&CDS=1-1245	YBL103C
OG0003368	maker-HG793131-snap-gene-4.2-mRNA-1_1&gene=maker-HG793131-snap-gene-4.2&CDS=1-1089	YDL125C
OG0003369	genemark-HG793131-processed-gene-4.34-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.34&CDS=1-2463	YDL126C
OG0003370	genemark-HG793131-processed-gene-4.35-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.35&CDS=1-2268	YJL168C
OG0003371	genemark-HG793131-processed-gene-4.56-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.56&CDS=1-2892	YLR309C
OG0003372	augustus_masked-HG793131-processed-gene-4.130-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-4.130&CDS=1-903	YMR244W
OG0003373	genemark-HG793131-processed-gene-4.40-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.40&CDS=1-1263	YMR243C
OG0003374	genemark-HG793131-processed-gene-5.77-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.77&CDS=1-2097	YFR015C
OG0003375	genemark-HG793131-processed-gene-5.81-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.81&CDS=1-264	YCR020C-A
OG0003376	genemark-HG793131-processed-gene-5.83-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.83&CDS=1-1047	YDR173C
OG0003377	genemark-HG793131-processed-gene-5.85-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.85&CDS=1-5619	YPL231W
OG0003378	genemark-HG793131-processed-gene-5.104-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.104&CDS=1-1431	YDR169C
OG0003379	genemark-HG793131-processed-gene-5.105-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.105&CDS=1-855	YLR150W
OG0003380	genemark-HG793131-processed-gene-5.106-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.106&CDS=1-5352	YDR170C
OG0003381	snap_masked-HG793131-processed-gene-5.9-mRNA-1_1&gene=snap_masked-HG793131-processed-gene-5.9&CDS=1-195	YFL014W
OG0003382	snap_masked-HG793131-processed-gene-5.31-mRNA-1_1&gene=snap_masked-HG793131-processed-gene-5.31&CDS=1-909	YPL064C
OG0003383	genemark-HG793131-processed-gene-5.110-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.110&CDS=1-186	YBR162W-A
OG0003384	genemark-HG793131-processed-gene-5.91-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.91&CDS=1-2460	YBR202W
OG0003385	augustus_masked-HG793131-processed-gene-5.54-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-5.54&CDS=1-1206	YPL066W
OG0003386	genemark-HG793131-processed-gene-5.93-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.93&CDS=1-1488	YMR215W
OG0003387	genemark-HG793131-processed-gene-5.112-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.112&CDS=1-1377	YBR162C
OG0003388	genemark-HG793131-processed-gene-5.95-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.95&CDS=1-981	YDR400W
OG0003389	genemark-HG793131-processed-gene-5.97-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.97&CDS=1-783	YPL065W
OG0003390	genemark-HG793131-processed-gene-5.114-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.114&CDS=1-669	YPL107W
OG0003391	genemark-HG793131-processed-gene-5.99-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.99&CDS=1-1677	YBR170C
OG0003392	genemark-HG793131-processed-gene-5.100-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.100&CDS=1-2082	YBR169C
OG0003393	genemark-HG793131-processed-gene-6.50-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.50&CDS=1-4827	YOR341W
OG0003394	genemark-HG793131-processed-gene-6.49-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.49&CDS=1-3837	YGL092W
OG0003395	augustus_masked-HG793131-processed-gene-6.2-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-6.2&CDS=1-2229	YGL091C
OG0003396	genemark-HG793131-processed-gene-6.76-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.76&CDS=1-2187	YFR029W
OG0003397	genemark-HG793131-processed-gene-6.54-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.54&CDS=1-1476	YEL015W
OG0003398	genemark-HG793131-processed-gene-6.55-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.55&CDS=1-1284	YKL184W
OG0003399	genemark-HG793131-processed-gene-6.77-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.77&CDS=1-330	YGR063C
OG0003400	genemark-HG793131-processed-gene-6.80-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.80&CDS=1-1485	YBR003W
OG0003401	genemark-HG793131-processed-gene-6.81-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.81&CDS=1-597	YDR002W
OG0003402	genemark-HG793131-processed-gene-6.82-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.82&CDS=1-420	YOL127W
OG0003403	genemark-HG793131-processed-gene-6.83-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.83&CDS=1-612	YNL306W
OG0003404	genemark-HG793131-processed-gene-6.62-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.62&CDS=1-1146	YNL307C
OG0003405	genemark-HG793131-processed-gene-6.84-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.84&CDS=1-513	YOL129W
OG0003406	genemark-HG793131-processed-gene-6.63-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.63&CDS=1-804	YGR062C
OG0003407	maker-HG793131-snap-gene-6.166-mRNA-1_1&gene=maker-HG793131-snap-gene-6.166&CDS=1-1572	YGR262C
OG0003408	genemark-HG793131-processed-gene-6.88-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.88&CDS=1-2247	YGR264C
OG0003409	genemark-HG793131-processed-gene-6.64-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.64&CDS=1-348	YLR200W
OG0003410	genemark-HG793131-processed-gene-6.91-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.91&CDS=1-702	YLR201C
OG0003411	genemark-HG793131-processed-gene-6.65-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.65&CDS=1-1137	YDL168W
OG0003412	genemark-HG793131-processed-gene-6.66-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.66&CDS=1-1971	YDL167C
OG0003413	genemark-HG793131-processed-gene-6.92-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.92&CDS=1-1356	YLR195C
OG0003414	genemark-HG793131-processed-gene-6.68-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.68&CDS=1-1659	YLR196W
OG0003415	augustus_masked-HG793131-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-6.19&CDS=1-6345	YDL171C
OG0003416	augustus_masked-HG793131-processed-gene-6.44-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-6.44&CDS=1-1062	YHR109W
OG0003417	genemark-HG793131-processed-gene-6.72-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.72&CDS=1-633	YOL032W
OG0003418	genemark-HG793131-processed-gene-6.96-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.96&CDS=1-1482	YOL033W
OG0003419	genemark-HG793131-processed-gene-6.97-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.97&CDS=1-813	YAL014C
OG0003420	genemark-HG793131-processed-gene-6.74-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.74&CDS=1-549	YBR164C
OG0003421	genemark-HG793131-processed-gene-6.75-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.75&CDS=1-2124	YPL109C
OG0003422	genemark-HG793131-processed-gene-6.98-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.98&CDS=1-2394	YAL011W
OG0003423	genemark-HG793131-processed-gene-7.12-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.12&CDS=1-3288	YOL034W
OG0003424	augustus_masked-HG793131-processed-gene-7.132-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-7.132&CDS=1-1488	YGL160W
OG0003425	genemark-HG793131-processed-gene-7.42-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.42&CDS=1-1026	YKR071C
OG0003426	augustus_masked-HG793131-processed-gene-7.136-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-7.136&CDS=1-2337	YOR058C
OG0003427	genemark-HG793131-processed-gene-7.43-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.43&CDS=1-585	YOR057W
OG0003428	genemark-HG793131-processed-gene-7.20-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.20&CDS=1-1347	YOR056C
OG0003429	augustus_masked-HG793131-processed-gene-7.160-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-7.160&CDS=1-2460	YOL063C
OG0003430	genemark-HG793131-processed-gene-7.24-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.24&CDS=1-1365	YOL132W
OG0003431	genemark-HG793131-processed-gene-7.25-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.25&CDS=1-1560	YMR313C
OG0003432	augustus_masked-HG793131-processed-gene-7.162-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-7.162&CDS=1-840	YMR312W
OG0003433	genemark-HG793131-processed-gene-7.26-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.26&CDS=1-1293	YGR285C
OG0003434	genemark-HG793131-processed-gene-7.48-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.48&CDS=1-798	YGL232W
OG0003435	genemark-HG793131-processed-gene-7.49-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.49&CDS=1-1242	YPL101W
OG0003436	genemark-HG793131-processed-gene-7.27-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.27&CDS=1-2529	YBR179C
OG0003437	genemark-HG793131-processed-gene-7.28-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.28&CDS=1-936	YGR284C
OG0003438	genemark-HG793131-processed-gene-7.29-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.29&CDS=1-639	YMR311C
OG0003439	genemark-HG793131-processed-gene-7.30-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.30&CDS=1-885	YMR314W
OG0003440	genemark-HG793131-processed-gene-7.52-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.52&CDS=1-630	YIR032C
OG0003441	augustus_masked-HG793131-processed-gene-7.150-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-7.150&CDS=1-489	YPL108W
OG0003442	augustus_masked-HG793131-processed-gene-7.168-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-7.168&CDS=1-399	YBR167C
OG0003443	genemark-HG793131-processed-gene-7.34-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.34&CDS=1-528	YGL231C
OG0003444	genemark-HG793131-processed-gene-7.54-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.54&CDS=1-2547	YGL233W
OG0003445	genemark-HG793131-processed-gene-7.35-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.35&CDS=1-1167	YFR043C
OG0003446	augustus_masked-HG793131-processed-gene-7.170-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-7.170&CDS=1-1854	YGL227W
OG0003447	genemark-HG793131-processed-gene-7.56-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.56&CDS=1-1347	YER043C
OG0003448	augustus_masked-HG793131-processed-gene-7.172-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-7.172&CDS=1-3987	YLR086W
OG0003449	maker-HG793131-snap-gene-7.7-mRNA-1_1&gene=maker-HG793131-snap-gene-7.7&CDS=1-2991	YBR289W
OG0003450	genemark-HG793131-processed-gene-7.58-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.58&CDS=1-891	YBR291C
