	Metschnikowia_kipukae	Saccharomyces_cerevisiae
OG0002868	snap_masked-kipT_s8-processed-gene-7.80-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.80&CDS=1-507	YNR036C
OG0002869	snap_masked-kipT_s8-processed-gene-7.106-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.106&CDS=1-1023	YNR035C
OG0002870	snap_masked-kipT_s8-processed-gene-7.107-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.107&CDS=1-1761	YJL128C
OG0002871	snap_masked-kipT_s8-processed-gene-7.81-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.81&CDS=1-4605	YPL167C
OG0002872	snap_masked-kipT_s8-processed-gene-7.82-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.82&CDS=1-969	YEL029C
OG0002873	snap_masked-kipT_s8-processed-gene-7.109-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.109&CDS=1-1863	YJL100W
OG0002874	snap_masked-kipT_s8-processed-gene-8.55-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.55&CDS=1-2958	YBR281C
OG0002875	snap_masked-kipT_s8-processed-gene-8.56-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.56&CDS=1-1077	YHR085W
OG0002876	snap_masked-kipT_s8-processed-gene-8.59-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.59&CDS=1-720	YHR038W
OG0002877	augustus_masked-kipT_s8-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-8.27&CDS=1-2484	YLR268W
OG0002878	snap_masked-kipT_s8-processed-gene-8.81-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.81&CDS=1-1404	YOR260W
OG0002879	snap_masked-kipT_s8-processed-gene-8.61-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.61&CDS=1-1269	YOR259C
OG0002880	snap_masked-kipT_s8-processed-gene-8.82-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.82&CDS=1-936	YPL173W
OG0002881	snap_masked-kipT_s8-processed-gene-8.83-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.83&CDS=1-609	YOR257W
OG0002882	augustus_masked-kipT_s8-processed-gene-8.31-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-8.31&CDS=1-2733	YPL175W
OG0002883	genemark-kipT_s8-processed-gene-8.141-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-8.141&CDS=1-465	YPL170W
OG0002884	snap_masked-kipT_s8-processed-gene-8.63-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.63&CDS=1-522	YOR253W
OG0002885	snap_masked-kipT_s8-processed-gene-8.89-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.89&CDS=1-675	YER004W
OG0002886	snap_masked-kipT_s8-processed-gene-8.66-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.66&CDS=1-648	YPR124W
OG0002887	snap_masked-kipT_s8-processed-gene-8.90-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.90&CDS=1-3315	YPR055W
OG0002888	snap_masked-kipT_s8-processed-gene-8.91-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.91&CDS=1-858	YBR101C
OG0002889	snap_masked-kipT_s8-processed-gene-8.68-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.68&CDS=1-1251	YCR012W
OG0002890	genemark-kipT_s8-processed-gene-8.148-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-8.148&CDS=1-1953	YBR041W
OG0002891	genemark-kipT_s8-processed-gene-8.123-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-8.123&CDS=1-1395	YER141W
OG0002892	snap_masked-kipT_s8-processed-gene-8.93-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.93&CDS=1-1974	YER140W
OG0002893	snap_masked-kipT_s8-processed-gene-8.95-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.95&CDS=1-3630	YOL075C
OG0002894	snap_masked-kipT_s8-processed-gene-8.96-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.96&CDS=1-1662	YFR028C
OG0002895	maker-kipT_s8-snap-gene-8.172-mRNA-1_1&gene=maker-kipT_s8-snap-gene-8.172&CDS=1-777	YDR064W
OG0002896	snap_masked-kipT_s8-processed-gene-8.97-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.97&CDS=1-459	YMR260C
OG0002897	genemark-kipT_s8-processed-gene-8.127-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-8.127&CDS=1-930	YML112W
OG0002898	genemark-kipT_s8-processed-gene-8.128-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-8.128&CDS=1-858	YMR262W
OG0002899	snap_masked-kipT_s8-processed-gene-8.99-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.99&CDS=1-744	YDR050C
OG0002900	maker-kipT_s8-snap-gene-8.176-mRNA-1_1&gene=maker-kipT_s8-snap-gene-8.176&CDS=1-957	YDR051C
OG0002901	snap_masked-kipT_s8-processed-gene-8.102-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.102&CDS=1-900	YBR061C
OG0002902	snap_masked-kipT_s8-processed-gene-8.75-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.75&CDS=1-777	YDR041W
OG0002903	snap_masked-kipT_s8-processed-gene-8.106-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.106&CDS=1-1095	YGR286C
OG0002904	snap_masked-kipT_s8-processed-gene-8.77-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.77&CDS=1-1707	YDR232W
OG0002905	snap_masked-kipT_s8-processed-gene-8.78-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-8.78&CDS=1-2490	YNL126W
OG0002906	snap_masked-kipT_s8-processed-gene-9.105-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.105&CDS=1-846	YOR100C
OG0002907	maker-kipT_s8-snap-gene-9.158-mRNA-1_1&gene=maker-kipT_s8-snap-gene-9.158&CDS=1-678	YOR332W
OG0002908	maker-kipT_s8-augustus-gene-9.52-mRNA-1_1&gene=maker-kipT_s8-augustus-gene-9.52&CDS=1-3384	YOR340C
OG0002909	genemark-kipT_s8-processed-gene-9.3-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-9.3&CDS=1-912	YAL034W-A
OG0002910	augustus_masked-kipT_s8-processed-gene-9.61-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-9.61&CDS=1-1173	YNR015W
OG0002911	snap_masked-kipT_s8-processed-gene-9.140-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.140&CDS=1-618	YNR017W
OG0002912	snap_masked-kipT_s8-processed-gene-9.115-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.115&CDS=1-837	YCR059C
OG0002913	snap_masked-kipT_s8-processed-gene-9.116-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.116&CDS=1-2757	YCR057C
OG0002914	snap_masked-kipT_s8-processed-gene-9.117-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.117&CDS=1-2085	YFR015C
OG0002915	snap_masked-kipT_s8-processed-gene-9.118-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.118&CDS=1-420	YER112W
OG0002916	snap_masked-kipT_s8-processed-gene-9.144-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.144&CDS=1-1161	YBL086C
OG0002917	snap_masked-kipT_s8-processed-gene-9.145-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.145&CDS=1-627	YHR122W
OG0002918	snap_masked-kipT_s8-processed-gene-9.146-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.146&CDS=1-336	YNL135C
OG0002919	augustus_masked-kipT_s8-processed-gene-9.69-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-9.69&CDS=1-1626	YLR392C
OG0002920	snap_masked-kipT_s8-processed-gene-9.123-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.123&CDS=1-1053	YNL128W
OG0002921	snap_masked-kipT_s8-processed-gene-9.124-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.124&CDS=1-1185	YHR123W
OG0002922	snap_masked-kipT_s8-processed-gene-9.148-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.148&CDS=1-438	YNL131W
OG0002923	snap_masked-kipT_s8-processed-gene-9.149-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.149&CDS=1-2544	YNL127W
OG0002924	augustus_masked-kipT_s8-processed-gene-9.76-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-9.76&CDS=1-2295	YNL258C
OG0002925	augustus_masked-kipT_s8-processed-gene-9.97-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-9.97&CDS=1-219	YNL259C
OG0002926	snap_masked-kipT_s8-processed-gene-9.151-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.151&CDS=1-858	YDR405W
OG0002927	snap_masked-kipT_s8-processed-gene-9.130-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.130&CDS=1-3705	YOR151C
OG0002928	snap_masked-kipT_s8-processed-gene-9.152-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.152&CDS=1-519	YOR150W
OG0002929	snap_masked-kipT_s8-processed-gene-9.131-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.131&CDS=1-519	YDR404C
OG0002930	snap_masked-kipT_s8-processed-gene-9.154-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.154&CDS=1-1812	YDR341C
OG0002931	genemark-kipT_s8-processed-gene-9.26-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-9.26&CDS=1-558	YDR339C
OG0002932	snap_masked-kipT_s8-processed-gene-9.155-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.155&CDS=1-576	YJR069C
OG0002933	snap_masked-kipT_s8-processed-gene-9.157-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-9.157&CDS=1-912	YOR143C
OG0002934	snap_masked-kipT_s8-processed-gene-10.4-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.4&CDS=1-519	YML030W
OG0002935	snap_masked-kipT_s8-processed-gene-10.5-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.5&CDS=1-2166	YDR006C
OG0002936	snap_masked-kipT_s8-processed-gene-10.6-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.6&CDS=1-1338	YDR375C
OG0002937	genemark-kipT_s8-processed-gene-10.116-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-10.116&CDS=1-6669	YCR011C
OG0002938	genemark-kipT_s8-processed-gene-10.117-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-10.117&CDS=1-942, snap_masked-kipT_s8-processed-gene-18.33-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-18.33&CDS=1-378	
OG0002939	snap_masked-kipT_s8-processed-gene-10.36-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.36&CDS=1-1128	YDR346C
OG0002940	snap_masked-kipT_s8-processed-gene-10.11-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.11&CDS=1-2451	YOR141C
OG0002941	snap_masked-kipT_s8-processed-gene-10.12-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.12&CDS=1-972	YOR142W
OG0002942	snap_masked-kipT_s8-processed-gene-10.13-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.13&CDS=1-471	YHR059W
OG0002943	snap_masked-kipT_s8-processed-gene-10.14-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.14&CDS=1-618	YDR304C
OG0002944	maker-kipT_s8-augustus-gene-10.108-mRNA-1_1&gene=maker-kipT_s8-augustus-gene-10.108&CDS=1-1341	YDR305C
OG0002945	snap_masked-kipT_s8-processed-gene-10.15-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.15&CDS=1-2349	YBR080C
OG0002946	snap_masked-kipT_s8-processed-gene-10.19-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.19&CDS=1-918	YDR175C
OG0002947	snap_masked-kipT_s8-processed-gene-10.20-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.20&CDS=1-1863	YDR176W
OG0002948	snap_masked-kipT_s8-processed-gene-10.39-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.39&CDS=1-1413	YLR163C
OG0002949	snap_masked-kipT_s8-processed-gene-10.23-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.23&CDS=1-651	YDR183W
OG0002950	snap_masked-kipT_s8-processed-gene-10.24-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.24&CDS=1-2469	YLR166C
OG0002951	augustus_masked-kipT_s8-processed-gene-10.85-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-10.85&CDS=1-1332	YDR182W
OG0002952	snap_masked-kipT_s8-processed-gene-10.41-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.41&CDS=1-4524	YDR180W
OG0002953	snap_masked-kipT_s8-processed-gene-10.42-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.42&CDS=1-1077	YLR246W
OG0002954	augustus_masked-kipT_s8-processed-gene-10.76-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-10.76&CDS=1-867	YLR239C
OG0002955	snap_masked-kipT_s8-processed-gene-10.45-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.45&CDS=1-495	YDR201W
OG0002956	augustus_masked-kipT_s8-processed-gene-10.77-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-10.77&CDS=1-3003	YDR204W
OG0002957	snap_masked-kipT_s8-processed-gene-10.46-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.46&CDS=1-324	YDR357C
OG0002958	snap_masked-kipT_s8-processed-gene-10.49-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.49&CDS=1-6366	YDL171C
OG0002959	snap_masked-kipT_s8-processed-gene-10.33-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-10.33&CDS=1-1053	YCR035C
OG0002960	augustus_masked-kipT_s8-processed-gene-10.80-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-10.80&CDS=1-8652	YCR032W
OG0002961	genemark-kipT_s8-processed-gene-11.9-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-11.9&CDS=1-390	YJL190C
OG0002962	maker-kipT_s8-augustus-gene-11.0-mRNA-1_1&gene=maker-kipT_s8-augustus-gene-11.0&CDS=1-198	YJL189W
OG0002963	augustus_masked-kipT_s8-processed-gene-11.120-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-11.120&CDS=1-2334	YNL045W
OG0002964	snap_masked-kipT_s8-processed-gene-11.64-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.64&CDS=1-1641	YBR007C
OG0002965	snap_masked-kipT_s8-processed-gene-11.65-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.65&CDS=1-1374	YPR045C
OG0002966	snap_masked-kipT_s8-processed-gene-11.92-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.92&CDS=1-711	YJR099W
OG0002967	snap_masked-kipT_s8-processed-gene-11.72-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.72&CDS=1-1971	YDL167C
OG0002968	snap_masked-kipT_s8-processed-gene-11.73-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.73&CDS=1-714	YPR183W
OG0002969	snap_masked-kipT_s8-processed-gene-11.74-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.74&CDS=1-1761	YDR390C
OG0002970	snap_masked-kipT_s8-processed-gene-11.75-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.75&CDS=1-378	YOR122C
OG0002971	maker-kipT_s8-augustus-gene-11.1-mRNA-1_1&gene=maker-kipT_s8-augustus-gene-11.1&CDS=1-1131	YDL125C
OG0002972	snap_masked-kipT_s8-processed-gene-11.100-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.100&CDS=1-1368	YHR111W
OG0002973	genemark-kipT_s8-processed-gene-11.45-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-11.45&CDS=1-1329	YHR134W
OG0002974	snap_masked-kipT_s8-processed-gene-11.104-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.104&CDS=1-1503	YPL214C
OG0002975	snap_masked-kipT_s8-processed-gene-11.105-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.105&CDS=1-1470	YPL262W
OG0002976	snap_masked-kipT_s8-processed-gene-11.83-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.83&CDS=1-2682	YER162C
OG0002977	snap_masked-kipT_s8-processed-gene-11.84-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.84&CDS=1-6903	YDR090C
OG0002978	genemark-kipT_s8-processed-gene-11.29-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-11.29&CDS=1-2307	YJR143C
OG0002979	snap_masked-kipT_s8-processed-gene-11.87-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.87&CDS=1-1173	YHR201C
OG0002980	snap_masked-kipT_s8-processed-gene-11.88-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.88&CDS=1-774	YMR048W
OG0002981	snap_masked-kipT_s8-processed-gene-11.111-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.111&CDS=1-783	YHR200W
OG0002982	snap_masked-kipT_s8-processed-gene-11.112-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.112&CDS=1-4260	YJR137C
OG0002983	genemark-kipT_s8-processed-gene-11.32-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-11.32&CDS=1-2532	YDR089W
OG0002984	snap_masked-kipT_s8-processed-gene-11.114-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-11.114&CDS=1-519	YJR025C
OG0002985	snap_masked-kipT_s8-processed-gene-12.0-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.0&CDS=1-873	YOR223W
OG0002986	snap_masked-kipT_s8-processed-gene-12.1-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.1&CDS=1-852	YPL134C
OG0002987	snap_masked-kipT_s8-processed-gene-12.5-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.5&CDS=1-1485	YPL133C
OG0002988	snap_masked-kipT_s8-processed-gene-12.31-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.31&CDS=1-3477	YOR207C
OG0002989	snap_masked-kipT_s8-processed-gene-12.32-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.32&CDS=1-1521	YPL122C
OG0002990	snap_masked-kipT_s8-processed-gene-12.33-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.33&CDS=1-1572	YHR168W
OG0002991	genemark-kipT_s8-processed-gene-12.115-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-12.115&CDS=1-1290	YHR169W
OG0002992	maker-kipT_s8-snap-gene-12.100-mRNA-1_1&gene=maker-kipT_s8-snap-gene-12.100&CDS=1-1926	YGR246C
OG0002993	genemark-kipT_s8-processed-gene-12.117-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-12.117&CDS=1-2235	YGR245C
OG0002994	snap_masked-kipT_s8-processed-gene-12.11-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.11&CDS=1-882	YOR221C
OG0002995	snap_masked-kipT_s8-processed-gene-12.34-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.34&CDS=1-900	YOR287C
OG0002996	genemark-kipT_s8-processed-gene-12.121-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-12.121&CDS=1-1221	YGR244C
OG0002997	snap_masked-kipT_s8-processed-gene-12.15-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.15&CDS=1-756	YGR253C
OG0002998	snap_masked-kipT_s8-processed-gene-12.35-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.35&CDS=1-2727	YHR172W
OG0002999	snap_masked-kipT_s8-processed-gene-12.36-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.36&CDS=1-1899	YHR171W
OG0003000	snap_masked-kipT_s8-processed-gene-12.37-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.37&CDS=1-1518	YHR170W
OG0003001	snap_masked-kipT_s8-processed-gene-12.16-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.16&CDS=1-1476	YGR252W
OG0003002	maker-kipT_s8-augustus-gene-12.158-mRNA-1_1&gene=maker-kipT_s8-augustus-gene-12.158&CDS=1-1494	YJL030W
OG0003003	genemark-kipT_s8-processed-gene-12.142-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-12.142&CDS=1-1248	YJL006C
OG0003004	snap_masked-kipT_s8-processed-gene-12.40-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.40&CDS=1-2406	YMR049C
OG0003005	snap_masked-kipT_s8-processed-gene-12.21-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.21&CDS=1-741	YIR005W
OG0003006	snap_masked-kipT_s8-processed-gene-12.41-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.41&CDS=1-876	YPR139C
OG0003007	snap_masked-kipT_s8-processed-gene-12.43-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.43&CDS=1-3027	YFL025C
OG0003008	snap_masked-kipT_s8-processed-gene-12.23-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.23&CDS=1-633	YKL142W
OG0003009	snap_masked-kipT_s8-processed-gene-12.47-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.47&CDS=1-180	YFR032C-A
OG0003010	snap_masked-kipT_s8-processed-gene-12.50-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-12.50&CDS=1-1062	YMR166C
OG0003011	augustus_masked-kipT_s8-processed-gene-13.0-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-13.0&CDS=1-1227	YDL104C
OG0003012	snap_masked-kipT_s8-processed-gene-13.49-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.49&CDS=1-1029	YDL105W
OG0003013	snap_masked-kipT_s8-processed-gene-13.46-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.46&CDS=1-2115	YMR167W
OG0003014	snap_masked-kipT_s8-processed-gene-13.47-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.47&CDS=1-2799	YGR198W
OG0003015	snap_masked-kipT_s8-processed-gene-13.48-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.48&CDS=1-609	YJR014W
OG0003016	snap_masked-kipT_s8-processed-gene-13.73-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.73&CDS=1-426	YBR167C
OG0003017	snap_masked-kipT_s8-processed-gene-13.74-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.74&CDS=1-585	YLR009W
OG0003018	snap_masked-kipT_s8-processed-gene-13.53-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.53&CDS=1-462	YLR008C
OG0003019	snap_masked-kipT_s8-processed-gene-13.75-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.75&CDS=1-426	YGR203W
OG0003020	genemark-kipT_s8-processed-gene-13.103-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-13.103&CDS=1-1287	YGR202C
OG0003021	snap_masked-kipT_s8-processed-gene-13.55-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.55&CDS=1-1245	YLL006W
OG0003022	snap_masked-kipT_s8-processed-gene-13.76-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.76&CDS=1-759	YGR262C
OG0003023	snap_masked-kipT_s8-processed-gene-13.78-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.78&CDS=1-870	YGR062C
OG0003024	snap_masked-kipT_s8-processed-gene-13.57-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.57&CDS=1-336	YGR063C
OG0003025	snap_masked-kipT_s8-processed-gene-13.79-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.79&CDS=1-3921	YGR270W
OG0003026	snap_masked-kipT_s8-processed-gene-13.80-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.80&CDS=1-1725	YGR171C
OG0003027	snap_masked-kipT_s8-processed-gene-13.81-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.81&CDS=1-750	YGR172C
OG0003028	snap_masked-kipT_s8-processed-gene-13.58-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.58&CDS=1-1599	YDR292C
OG0003029	snap_masked-kipT_s8-processed-gene-13.59-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.59&CDS=1-3447	YGR170W
OG0003030	snap_masked-kipT_s8-processed-gene-13.82-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.82&CDS=1-2244	YGR264C
OG0003031	augustus_masked-kipT_s8-processed-gene-13.13-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-13.13&CDS=1-1149	YMR293C
OG0003032	snap_masked-kipT_s8-processed-gene-13.83-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.83&CDS=1-822	YGR267C
OG0003033	snap_masked-kipT_s8-processed-gene-13.84-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.84&CDS=1-3561	YDR293C
OG0003034	snap_masked-kipT_s8-processed-gene-13.85-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.85&CDS=1-1401	YJR006W
OG0003035	snap_masked-kipT_s8-processed-gene-13.87-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.87&CDS=1-2070	YGR266W
OG0003036	snap_masked-kipT_s8-processed-gene-13.63-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.63&CDS=1-1452	YLR015W
OG0003037	maker-kipT_s8-augustus-gene-13.144-mRNA-1_1&gene=maker-kipT_s8-augustus-gene-13.144&CDS=1-429	YMR292W
OG0003038	snap_masked-kipT_s8-processed-gene-13.67-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.67&CDS=1-750	YGR268C
OG0003039	snap_masked-kipT_s8-processed-gene-13.90-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.90&CDS=1-1770	YHR037W
OG0003040	snap_masked-kipT_s8-processed-gene-13.91-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.91&CDS=1-1092	YMR294W
OG0003041	snap_masked-kipT_s8-processed-gene-13.92-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.92&CDS=1-1104	YGR173W
OG0003042	snap_masked-kipT_s8-processed-gene-13.68-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.68&CDS=1-672	YGR271C-A
OG0003043	snap_masked-kipT_s8-processed-gene-14.46-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-14.46&CDS=1-480	YJL011C
OG0003044	genemark-kipT_s8-processed-gene-14.103-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-14.103&CDS=1-3321	YOR085W
OG0003045	genemark-kipT_s8-processed-gene-14.104-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-14.104&CDS=1-684	YGL142C
